"","Depthm","T_degC","Salnty","O2ml_L","Year"
"1581",51,14.821,33.3305,5.791,"2016"
"1582",60,14.765,33.337,5.74,"2016"
"1583",70,14.692,33.336,5.7,"2016"
"1584",75,14.609,33.3387,5.649,"2016"
"1585",85,13.363,33.2554,5.228,"2016"
"1586",100,11.223,33.2605,4.517,"2016"
"1587",101,11.067,33.2543,4.58,"2016"
"1588",121,10.08,33.4431,3.976,"2016"
"1589",125,10.054,33.489,3.88,"2016"
"1590",140,9.619,33.5585,3.664,"2016"
"1591",150,9.397,33.635,3.539,"2016"
"1592",171,9.241,33.766,3.132,"2016"
"1593",200,8.791,33.9532,2.594,"2016"
"1594",203,8.752,33.9599,2.52,"2016"
"1595",230,8.524,34.0387,2.12,"2016"
"1596",250,8.326,34.0624,1.99,"2016"
"1597",271,8.084,34.0851,1.775,"2016"
"1598",300,7.951,34.1156,1.552,"2016"
"1599",320,7.725,34.1359,1.332,"2016"
"1600",382,6.998,34.1533,0.926,"2016"
"1601",400,6.976,34.1815,0.821,"2016"
"1602",440,6.598,34.2051,0.626,"2016"
"1603",500,6.277,34.2364,0.464,"2016"
"1604",516,6.149,34.2504,0.41,"2016"
"1605",0,15.153,33.3165,5.765,"2016"
"1606",2,15.153,33.3165,5.765,"2016"
"1607",8,15.066,33.3173,5.793,"2016"
"1608",8,15.066,33.3169,NA,"2016"
"1609",10,15.008,33.3197,5.805,"2016"
"1610",14,14.996,33.32,5.788,"2016"
"1611",20,14.822,33.344,5.824,"2016"
"1612",26,14.761,33.3579,5.845,"2016"
"1613",30,14.704,33.3615,5.84,"2016"
"1614",33,14.639,33.3601,5.786,"2016"
"1615",44,14.448,33.363,5.641,"2016"
"1616",50,14.197,33.358,5.532,"2016"
"1617",53,14.025,33.3489,5.433,"2016"
"1618",62,12.716,33.2933,5.023,"2016"
"1619",68,11.885,33.263,4.641,"2016"
"1620",75,10.948,33.3117,4.362,"2016"
"1621",76,10.906,33.321,4.302,"2016"
"1622",85,10.315,33.3579,4.197,"2016"
"1623",100,9.614,33.5018,3.858,"2016"
"1624",101,9.582,33.4977,3.85,"2016"
"1625",120,9.24,33.6152,3.703,"2016"
"1626",125,9.181,33.6596,3.62,"2016"
"1627",139,9.073,33.7012,3.427,"2016"
"1628",150,8.901,33.8112,3.338,"2016"
"1629",170,8.65,33.8872,3.17,"2016"
"1630",200,8.233,33.9689,2.883,"2016"
"1631",201,8.238,33.9675,2.876,"2016"
"1632",231,7.901,34.0362,2.097,"2016"
"1633",250,7.702,34.0611,1.837,"2016"
"1634",270,7.605,34.0769,1.659,"2016"
"1635",300,7.427,34.1202,1.399,"2016"
"1636",320,7.307,34.1316,1.174,"2016"
"1637",380,6.744,34.1769,0.748,"2016"
"1638",400,6.504,34.1799,0.685,"2016"
"1639",440,6.278,34.2212,0.49,"2016"
"1640",500,5.947,34.2629,0.357,"2016"
"1641",516,5.906,34.2762,0.311,"2016"
"1642",0,16.136,33.2057,5.663,"2016"
"1643",1,16.136,33.2057,5.663,"2016"
"1644",9,16.086,33.1998,NA,"2016"
"1645",10,16.123,33.1996,5.648,"2016"
"1646",20,16.123,33.271,5.637,"2016"
"1647",25,16.149,33.288,5.63,"2016"
"1648",30,16.159,33.2963,5.639,"2016"
"1649",40,16.155,33.2992,5.623,"2016"
"1650",50,16.043,33.2892,5.618,"2016"
"1651",62,15.861,33.2865,5.598,"2016"
"1652",75,15.548,33.3023,5.599,"2016"
"1653",77,15.522,33.2986,5.594,"2016"
"1654",87,15.248,33.2884,5.592,"2016"
"1655",100,13.736,33.1678,5.477,"2016"
"1656",111,12.303,33.1513,5.21,"2016"
"1657",125,10.658,33.1938,4.865,"2016"
"1658",140,9.97,33.3124,4.467,"2016"
"1659",150,9.718,33.3902,4.364,"2016"
"1660",169,9.318,33.6318,3.475,"2016"
"1661",200,8.974,33.771,3.122,"2016"
"1662",232,8.572,33.9522,2.614,"2016"
"1663",250,8.288,34.0089,2.345,"2016"
"1664",270,8.057,34.0493,2,"2016"
"1665",300,7.767,34.0844,1.7,"2016"
"1666",320,7.484,34.1077,1.411,"2016"
"1667",380,6.975,34.1961,0.765,"2016"
"1668",400,6.913,34.2252,0.628,"2016"
"1669",439,6.553,34.2359,0.516,"2016"
"1670",500,6.052,34.2643,0.375,"2016"
"1671",515,6,34.2755,0.322,"2016"
"1672",0,16.447,33.231,5.606,"2016"
"1673",2,16.447,33.231,5.606,"2016"
"1674",9,16.451,33.23,NA,"2016"
"1675",10,16.451,33.2337,5.615,"2016"
"1676",20,16.429,33.2338,5.624,"2016"
"1677",25,16.401,33.2329,5.596,"2016"
"1678",30,16.4,33.2367,5.615,"2016"
"1679",39,16.409,33.2388,5.598,"2016"
"1680",50,16.36,33.2402,5.616,"2016"
"1681",61,16.352,33.2511,5.61,"2016"
"1682",75,16.295,33.2435,5.588,"2016"
"1683",87,15.367,33.2274,5.558,"2016"
"1684",99,13.632,33.1172,5.478,"2016"
"1685",100,13.61,33.1196,5.472,"2016"
"1686",111,12.452,33.0944,5.284,"2016"
"1687",125,11.425,33.1241,5.041,"2016"
"1688",126,11.441,33.1201,5.056,"2016"
"1689",139,10.564,33.1784,4.812,"2016"
"1690",150,10.085,33.3279,4.5,"2016"
"1691",169,9.4,33.5375,4.025,"2016"
"1692",200,8.936,33.7402,3.488,"2016"
"1693",229,8.56,33.9016,3.006,"2016"
"1694",250,8.283,33.9481,2.703,"2016"
"1695",270,7.81,33.9956,2.636,"2016"
"1696",300,7.509,34.0253,2.209,"2016"
"1697",320,7.208,34.0369,1.838,"2016"
"1698",379,6.918,34.131,1.021,"2016"
"1699",400,6.704,34.1328,0.91,"2016"
"1700",441,6.552,34.1753,0.703,"2016"
"1701",500,6.005,34.203,0.521,"2016"
"1702",514,6.064,34.2221,0.46,"2016"
"1703",0,16.208,33.184,5.68,"2016"
"1704",2,16.208,33.184,5.68,"2016"
"1705",10,16.187,33.161,5.659,"2016"
"1706",10,16.187,33.1595,NA,"2016"
"1707",11,16.18,33.1591,5.655,"2016"
"1708",20,16.041,33.1617,5.665,"2016"
"1709",26,16.004,33.1583,5.659,"2016"
"1710",30,15.967,33.1534,5.66,"2016"
"1711",41,15.915,33.1468,5.66,"2016"
"1712",50,15.93,33.1527,5.642,"2016"
"1713",63,15.853,33.1687,5.644,"2016"
"1714",75,15.088,33.1508,5.6,"2016"
"1715",88,14.086,33.1034,5.589,"2016"
"1716",100,14.017,33.3788,5.276,"2016"
"1717",101,13.831,33.3809,5.332,"2016"
"1718",113,12.4,33.1754,5.238,"2016"
"1719",125,11.545,33.2224,5.118,"2016"
"1720",140,10.349,33.2373,4.756,"2016"
"1721",150,9.985,33.2961,4.553,"2016"
"1722",170,9.506,33.4983,3.983,"2016"
"1723",200,8.937,33.783,3.555,"2016"
"1724",231,8.493,33.9188,3.086,"2016"
"1725",250,8.326,33.9662,2.889,"2016"
"1726",272,8.037,34.0129,2.475,"2016"
"1727",300,7.649,34.0294,2.122,"2016"
"1728",320,7.159,34.0531,1.766,"2016"
"1729",380,6.615,34.0968,1.211,"2016"
"1730",400,6.476,34.0966,1.096,"2016"
"1731",441,6.185,34.1344,0.866,"2016"
"1732",500,5.723,34.1884,0.574,"2016"
"1733",515,5.646,34.213,0.48,"2016"
"1734",0,15.275,33.5391,5.827,"2016"
"1735",2,15.275,33.5391,5.827,"2016"
"1736",5,15.276,33.5389,5.918,"2016"
"1737",10,15.276,33.5391,5.896,"2016"
"1738",20,15.197,33.5423,5.913,"2016"
"1739",0,15.168,33.281,5.986,"2016"
"1740",2,15.168,33.281,5.986,"2016"
"1741",4,15.168,33.279,6.002,"2016"
"1742",10,15.189,33.3048,5.903,"2016"
"1743",16,15.403,33.5115,5.372,"2016"
"1744",20,15.474,33.5766,5.064,"2016"
"1745",0,15.835,33.576,5.673,"2016"
"1746",2,15.835,33.576,5.673,"2016"
"1747",5,15.818,33.5687,5.655,"2016"
"1748",10,15.735,33.5601,5.613,"2016"
"1749",19,15.721,33.5589,5.443,"2016"
"1750",0,15.868,33.5686,5.664,"2016"
"1751",1,15.868,33.5686,5.664,"2016"
"1752",5,15.799,33.5663,5.656,"2016"
"1753",10,15.721,33.5666,5.63,"2016"
"1754",20,15.737,33.584,5.567,"2016"
"1755",30,15.609,33.6051,5.223,"2016"
"1756",40,15.563,33.6031,5.164,"2016"
"1757",50,15.474,33.6035,5.115,"2016"
"1758",53,15.361,33.5958,5.067,"2016"
"1759",0,15.934,33.6071,5.597,"2016"
"1760",2,15.934,33.6071,5.597,"2016"
"1761",10,15.933,33.6087,5.602,"2016"
"1762",11,15.932,33.6092,5.592,"2016"
"1763",10,15.932,33.6086,NA,"2016"
"1764",14,15.935,33.6076,5.594,"2016"
"1765",20,15.933,33.6086,5.601,"2016"
"1766",24,15.928,33.6064,5.575,"2016"
"1767",30,15.927,33.6075,5.578,"2016"
"1768",34,15.91,33.6034,5.548,"2016"
"1769",33,15.91,33.6044,NA,"2016"
"1770",44,15.803,33.5881,5.438,"2016"
"1771",48,15.717,33.5822,5.383,"2016"
"1772",50,15.629,33.5756,5.271,"2016"
"1773",54,15.478,33.562,5.114,"2016"
"1774",61,14.787,33.5225,4.681,"2016"
"1775",70,14.016,33.5225,4.091,"2016"
"1776",75,13.825,33.5351,3.992,"2016"
"1777",85,13.2,33.5508,3.747,"2016"
"1778",100,12.607,33.7103,3.094,"2016"
"1779",101,12.803,33.6895,3.14,"2016"
"1780",120,11.768,33.7444,2.871,"2016"
"1781",125,11.719,33.7835,2.774,"2016"
"1782",141,11.104,33.8723,2.547,"2016"
"1783",150,11.004,33.9484,2.405,"2016"
"1784",169,10.768,34.071,1.979,"2016"
"1785",200,10.249,34.1821,1.652,"2016"
"1786",201,10.231,34.1793,1.662,"2016"
"1787",231,9.518,34.1846,1.64,"2016"
"1788",250,9.136,34.1767,1.637,"2016"
"1789",270,8.913,34.1895,1.499,"2016"
"1790",300,8.541,34.1925,1.373,"2016"
"1791",320,8.21,34.2023,1.193,"2016"
"1792",381,7.571,34.2482,0.743,"2016"
"1793",400,7.408,34.252,0.69,"2016"
"1794",441,7.177,34.2879,0.468,"2016"
"1795",500,6.609,34.3179,0.306,"2016"
"1796",517,6.47,34.3247,0.283,"2016"
"1797",0,16.226,33.6116,5.55,"2016"
"1798",2,16.226,33.6116,5.55,"2016"
"1799",10,16.228,33.6084,5.546,"2016"
"1800",10,16.228,33.6091,NA,"2016"
"1801",20,16.219,33.6078,5.544,"2016"
"1802",30,16.223,33.6086,5.555,"2016"
"1803",40,16.138,33.5972,5.514,"2016"
"1804",50,15.903,33.5773,5.567,"2016"
"1805",61,15.467,33.5555,5.436,"2016"
"1806",70,13.174,33.2394,4.928,"2016"
"1807",75,12.61,33.2477,4.848,"2016"
"1808",85,12.239,33.3092,4.494,"2016"
"1809",100,12.57,33.6896,3.168,"2016"
"1810",101,12.521,33.6858,3.142,"2016"
"1811",120,11.68,33.8106,2.779,"2016"
"1812",125,11.576,33.8361,2.609,"2016"
"1813",141,11.188,33.9041,2.424,"2016"
"1814",150,11.016,33.9201,2.409,"2016"
"1815",170,10.55,34.0877,1.942,"2016"
"1816",200,10.273,34.189,1.591,"2016"
"1817",200,10.273,34.189,1.591,"2016"
"1818",230,9.719,34.205,1.505,"2016"
"1819",250,9.552,34.2411,1.345,"2016"
"1820",270,9.315,34.2405,1.312,"2016"
"1821",300,8.536,34.2401,1.124,"2016"
"1822",321,8.145,34.2283,1.038,"2016"
"1823",355,7.871,34.2346,0.895,"2016"
"1824",0,15.842,33.5659,5.662,"2016"
"1825",1,15.842,33.5659,5.662,"2016"
"1826",10,15.852,33.5649,5.596,"2016"
"1827",11,15.856,33.5655,5.637,"2016"
"1828",10,15.856,33.5644,NA,"2016"
"1829",20,15.856,33.5642,5.584,"2016"
"1830",21,15.858,33.5633,5.588,"2016"
"1831",30,15.855,33.5645,5.583,"2016"
"1832",31,15.855,33.5637,5.591,"2016"
"1833",41,15.856,33.5627,5.58,"2016"
"1834",40,15.856,33.5631,NA,"2016"
"1835",50,15.828,33.5603,5.572,"2016"
"1836",51,15.791,33.5599,5.581,"2016"
"1837",61,14.9,33.4848,5.644,"2016"
"1838",70,14.191,33.4032,5.057,"2016"
"1839",75,13.615,33.3659,4.784,"2016"
"1840",86,12.876,33.4697,4.023,"2016"
"1841",100,12.194,33.5809,3.565,"2016"
"1842",121,11.756,33.7181,3.075,"2016"
"1843",125,11.557,33.7447,2.993,"2016"
"1844",141,11.069,33.8679,2.592,"2016"
"1845",150,10.968,33.9283,2.41,"2016"
"1846",171,10.813,33.9896,2.226,"2016"
"1847",200,10.386,34.1805,1.64,"2016"
"1848",203,10.341,34.1784,1.634,"2016"
"1849",230,9.845,34.2327,1.447,"2016"
"1850",250,9.33,34.1977,1.535,"2016"
"1851",270,8.886,34.1993,1.404,"2016"
"1852",300,8.75,34.2348,1.189,"2016"
"1853",320,8.5,34.2509,1.055,"2016"
"1854",381,7.699,34.2424,0.816,"2016"
"1855",400,7.4,34.2574,0.682,"2016"
"1856",441,7.092,34.2771,0.537,"2016"
"1857",500,6.599,34.2953,0.388,"2016"
"1858",516,6.587,34.3051,0.36,"2016"
"1859",0,15.702,33.5282,5.778,"2016"
"1860",1,15.702,33.5282,5.778,"2016"
"1861",10,15.695,33.5288,5.784,"2016"
"1862",9,15.695,33.5286,NA,"2016"
"1863",19,15.626,33.5251,5.743,"2016"
"1864",20,15.611,33.5183,5.757,"2016"
"1865",30,15.379,33.4925,5.691,"2016"
"1866",39,15.062,33.4718,5.554,"2016"
"1867",50,14.596,33.464,5.356,"2016"
"1868",60,13.306,33.4221,5.035,"2016"
"1869",70,12.739,33.3668,4.725,"2016"
"1870",75,12.17,33.3616,4.622,"2016"
"1871",84,11.308,33.3787,4.257,"2016"
"1872",100,10.983,33.4513,3.967,"2016"
"1873",101,11.127,33.4551,4.02,"2016"
"1874",120,10.943,33.804,2.835,"2016"
"1875",125,10.724,33.8552,2.757,"2016"
"1876",138,10.683,33.8993,2.567,"2016"
"1877",150,10.609,34.0058,2.275,"2016"
"1878",171,10.315,34.0897,1.98,"2016"
"1879",199,8.901,33.9931,2.423,"2016"
"1880",200,8.883,34.009,2.389,"2016"
"1881",229,9.22,34.2053,1.529,"2016"
"1882",250,9.124,34.2402,1.348,"2016"
"1883",271,8.401,34.1708,1.535,"2016"
"1884",300,8.179,34.2143,1.172,"2016"
"1885",319,7.958,34.2171,1.028,"2016"
"1886",381,7.503,34.2477,0.748,"2016"
"1887",400,7.387,34.281,0.585,"2016"
"1888",441,7.012,34.301,0.431,"2016"
"1889",500,6.601,34.3182,0.33,"2016"
"1890",514,6.558,34.3177,0.309,"2016"
"1891",0,15.114,33.4547,5.838,"2016"
"1892",2,15.114,33.4547,5.838,"2016"
"1893",9,15.035,33.4849,NA,"2016"
"1894",10,14.914,33.4844,5.909,"2016"
"1895",20,14.831,33.4852,5.863,"2016"
"1896",29,14.571,33.4428,NA,"2016"
"1897",30,14.572,33.4428,5.588,"2016"
"1898",40,14.571,33.4622,5.549,"2016"
"1899",50,14.446,33.476,5.427,"2016"
"1900",60,14.16,33.4757,5.298,"2016"
"1901",70,13.481,33.4837,4.726,"2016"
"1902",75,13.365,33.4989,4.565,"2016"
"1903",85,11.436,33.3804,4.262,"2016"
"1904",100,11.348,33.575,3.606,"2016"
"1905",120,10.77,33.693,3.196,"2016"
"1906",125,10.724,33.7486,3.062,"2016"
"1907",140,10.579,33.7795,2.925,"2016"
"1908",150,10.419,33.8603,2.72,"2016"
"1909",170,9.791,33.8947,2.656,"2016"
"1910",200,9.291,34.0383,2.186,"2016"
"1911",230,8.801,34.0659,2.033,"2016"
"1912",250,8.585,34.096,1.877,"2016"
"1913",270,8.406,34.1112,1.743,"2016"
"1914",300,8.177,34.1764,1.351,"2016"
"1915",320,7.967,34.1811,1.228,"2016"
"1916",380,7.278,34.2634,0.64,"2016"
"1917",400,7.147,34.2746,0.559,"2016"
"1918",440,7,34.2866,0.486,"2016"
"1919",500,6.566,34.2977,0.383,"2016"
"1920",513,6.5,34.3051,0.352,"2016"
"1921",513,6.494,34.3015,NA,"2016"
"1922",0,15.19,33.3456,5.764,"2016"
"1923",2,15.19,33.3456,5.764,"2016"
"1924",8,15.167,33.3464,5.764,"2016"
"1925",10,15.158,33.3471,5.778,"2016"
"1926",16,15.147,33.3453,5.762,"2016"
"1927",20,15.145,33.347,5.762,"2016"
"1928",22,15.145,33.3451,5.75,"2016"
"1929",29,15.117,33.3453,5.776,"2016"
"1930",30,15.112,33.3454,5.776,"2016"
"1931",38,15.094,33.3427,5.768,"2016"
"1932",49,15.002,33.3424,5.765,"2016"
"1933",50,15.004,33.3449,5.767,"2016"
"1934",59,14.982,33.3441,5.739,"2016"
"1935",69,14.896,33.3674,5.69,"2016"
"1936",75,14.678,33.3948,5.59,"2016"
"1937",77,14.596,33.3918,5.595,"2016"
"1938",89,13.799,33.4535,5.34,"2016"
"1939",100,12.058,33.3471,4.533,"2016"
"1940",120,10.2,33.4453,4.01,"2016"
"1941",125,10.186,33.4846,3.949,"2016"
"1942",140,9.78,33.6327,3.531,"2016"
"1943",150,9.708,33.6897,3.413,"2016"
"1944",171,9.361,33.8369,2.95,"2016"
"1945",200,9.178,33.9271,2.676,"2016"
"1946",202,9.17,33.9268,2.669,"2016"
"1947",230,8.816,34.0356,2.249,"2016"
"1948",250,8.435,34.0728,2.058,"2016"
"1949",269,8.176,34.0825,1.848,"2016"
"1950",300,7.797,34.124,1.462,"2016"
"1951",320,7.596,34.1444,1.24,"2016"
"1952",380,7.059,34.2091,0.763,"2016"
"1953",400,6.77,34.2102,0.699,"2016"
"1954",440,6.568,34.2253,0.575,"2016"
"1955",500,6.351,34.2642,0.445,"2016"
"1956",520,6.505,34.3081,0.334,"2016"
"1957",519,6.505,34.3077,NA,"2016"
"1958",0,15.769,33.3486,5.667,"2016"
"1959",2,15.769,33.3486,5.667,"2016"
"1960",10,15.762,33.3481,5.677,"2016"
"1961",10,15.763,33.3483,NA,"2016"
"1962",20,15.761,33.349,5.678,"2016"
"1963",26,15.739,33.3471,5.667,"2016"
"1964",30,15.735,33.3475,5.681,"2016"
"1965",40,15.706,33.3452,5.662,"2016"
"1966",50,15.677,33.3434,5.657,"2016"
"1967",62,15.649,33.3423,5.652,"2016"
"1968",62,15.647,33.3423,NA,"2016"
"1969",75,15.63,33.3425,5.627,"2016"
"1970",76,15.631,33.3409,5.636,"2016"
"1971",87,15.112,33.3005,5.523,"2016"
"1972",100,14.3,33.2678,5.416,"2016"
"1973",101,14.123,33.2557,5.416,"2016"
"1974",111,12.119,33.1767,5.045,"2016"
"1975",124,11.429,33.1981,4.875,"2016"
"1976",125,11.335,33.2186,4.842,"2016"
"1977",140,9.951,33.3869,4.147,"2016"
"1978",150,9.619,33.4839,3.973,"2016"
"1979",174,9.213,33.6888,3.363,"2016"
"1980",200,8.772,33.8873,2.872,"2016"
"1981",202,8.748,33.8918,2.813,"2016"
"1982",229,8.382,33.9797,2.513,"2016"
"1983",250,8.18,34.0127,2.338,"2016"
"1984",268,7.89,34.0269,2.207,"2016"
"1985",300,7.566,34.0446,1.952,"2016"
"1986",319,7.294,34.0565,1.719,"2016"
"1987",380,6.899,34.1429,0.952,"2016"
"1988",400,6.74,34.1666,0.807,"2016"
"1989",440,6.478,34.1968,0.599,"2016"
"1990",500,6.227,34.2603,0.394,"2016"
"1991",515,6.198,34.2737,0.342,"2016"
"1992",0,15.824,33.3294,5.685,"2016"
"1993",1,15.824,33.3294,5.685,"2016"
"1994",10,15.746,33.331,5.687,"2016"
"1995",20,15.731,33.3311,5.683,"2016"
"1996",30,15.693,33.3309,5.679,"2016"
"1997",40,15.673,33.3325,5.686,"2016"
"1998",49,15.584,33.3278,5.704,"2016"
"1999",50,15.566,33.3276,5.68,"2016"
"2000",60,15.093,33.2928,5.592,"2016"
"2001",70,14.337,33.2314,5.457,"2016"
"2002",75,13.511,33.1975,5.21,"2016"
"2003",84,12.334,33.1617,5.081,"2016"
"2004",99,10.58,33.2384,4.649,"2016"
"2005",100,10.522,33.2693,4.587,"2016"
"2006",119,9.792,33.3662,4.308,"2016"
"2007",125,9.645,33.4433,4.239,"2016"
"2008",140,9.367,33.5498,3.906,"2016"
"2009",150,9.272,33.6322,3.729,"2016"
"2010",170,9.009,33.7844,3.091,"2016"
"2011",200,8.61,33.9131,2.778,"2016"
"2012",230,8.304,34.0183,2.34,"2016"
"2013",250,7.988,34.0193,2.321,"2016"
"2014",270,7.699,34.0549,1.847,"2016"
"2015",300,7.387,34.0942,1.477,"2016"
"2016",319,7.396,34.141,1.114,"2016"
"2017",382,6.92,34.2106,0.672,"2016"
"2018",400,6.733,34.221,0.598,"2016"
"2019",440,6.485,34.2382,0.491,"2016"
"2020",500,6.144,34.2534,0.403,"2016"
"2021",513,6.033,34.2598,0.38,"2016"
"2022",0,16.062,33.3326,5.654,"2016"
"2023",2,16.062,33.3326,5.654,"2016"
"2024",9,15.967,33.3338,NA,"2016"
"2025",10,15.962,33.3277,5.663,"2016"
"2026",20,15.907,33.3311,5.676,"2016"
"2027",25,15.892,33.3252,5.652,"2016"
"2028",30,15.881,33.3291,5.674,"2016"
"2029",40,15.854,33.3253,5.652,"2016"
"2030",50,15.829,33.3253,5.646,"2016"
"2031",62,15.169,33.2968,5.599,"2016"
"2032",61,15.169,33.2972,NA,"2016"
"2033",75,13.753,33.2545,5.525,"2016"
"2034",87,12.205,33.158,5.117,"2016"
"2035",100,11.221,33.1986,4.764,"2016"
"2036",112,10.578,33.2597,4.529,"2016"
"2037",125,10.2,33.4064,4.002,"2016"
"2038",126,10.18,33.403,4.012,"2016"
"2039",140,9.681,33.5182,3.68,"2016"
"2040",150,9.546,33.5918,3.585,"2016"
"2041",169,9.172,33.7028,3.312,"2016"
"2042",200,8.801,33.8783,2.818,"2016"
"2043",231,8.443,33.9763,2.487,"2016"
"2044",250,8.207,34.0223,2.265,"2016"
"2045",270,7.863,34.0523,1.96,"2016"
"2046",300,7.499,34.0793,1.629,"2016"
"2047",318,7.263,34.0868,1.395,"2016"
"2048",380,6.517,34.1315,0.883,"2016"
"2049",400,6.357,34.165,0.717,"2016"
"2050",440,6.156,34.1899,0.571,"2016"
"2051",500,5.802,34.2531,0.36,"2016"
"2052",513,5.725,34.2638,0.32,"2016"
"2053",0,16.331,33.3601,5.586,"2016"
"2054",2,16.331,33.3601,5.586,"2016"
"2055",10,16.331,33.3594,5.604,"2016"
"2056",13,16.329,33.3574,5.585,"2016"
"2057",13,16.329,33.3571,NA,"2016"
"2058",20,16.331,33.3594,5.602,"2016"
"2059",24,16.33,33.3601,5.589,"2016"
"2060",30,16.323,33.3597,5.599,"2016"
"2061",31,16.323,33.3578,5.589,"2016"
"2062",45,16.159,33.3447,5.591,"2016"
"2063",50,16.096,33.341,5.614,"2016"
"2064",55,16.003,33.3245,NA,"2016"
"2065",57,15.977,33.3249,5.619,"2016"
"2066",74,15.674,33.3042,5.613,"2016"
"2067",75,15.67,33.3063,5.629,"2016"
"2068",85,15.621,33.3021,5.641,"2016"
"2069",100,15.475,33.2986,5.634,"2016"
"2070",103,14.85,33.2945,5.612,"2016"
"2071",115,13.329,33.1891,5.328,"2016"
"2072",125,11.846,33.1674,5.23,"2016"
"2073",128,11.523,33.1611,5.049,"2016"
"2074",140,10.797,33.1874,4.832,"2016"
"2075",150,10.413,33.2696,4.678,"2016"
"2076",171,9.592,33.4281,4.158,"2016"
"2077",200,9.009,33.8037,3.102,"2016"
"2078",201,8.98,33.7922,3.097,"2016"
"2079",231,8.682,33.9298,2.759,"2016"
"2080",250,8.442,34.0141,2.325,"2016"
"2081",271,8.075,34.0109,2.342,"2016"
"2082",300,7.78,34.072,1.8,"2016"
"2083",321,7.517,34.0687,1.636,"2016"
"2084",382,6.894,34.1206,1.024,"2016"
"2085",400,6.702,34.1309,0.921,"2016"
"2086",440,6.445,34.1506,0.734,"2016"
"2087",500,5.997,34.2174,0.462,"2016"
"2088",519,5.946,34.2437,0.374,"2016"
"2089",0,16.52,33.2869,5.595,"2016"
"2090",2,16.52,33.2869,5.595,"2016"
"2091",10,16.52,33.2874,5.609,"2016"
"2092",11,16.523,33.2939,5.599,"2016"
"2093",20,16.699,33.3622,5.578,"2016"
"2094",25,16.765,33.3898,5.552,"2016"
"2095",30,16.77,33.3946,5.558,"2016"
"2096",40,16.764,33.3924,5.547,"2016"
"2097",50,16.746,33.3896,5.547,"2016"
"2098",51,16.743,33.3881,5.55,"2016"
"2099",62,16.735,33.3857,5.557,"2016"
"2100",75,16.708,33.3807,5.547,"2016"
"2101",87,16.369,33.3022,5.572,"2016"
"2102",100,15.59,33.2195,5.564,"2016"
"2103",112,14.653,33.3636,5.413,"2016"
"2104",125,13.491,33.3167,5.28,"2016"
"2105",140,11.39,33.2118,5.015,"2016"
"2106",150,10.573,33.2812,4.857,"2016"
"2107",170,10.039,33.3511,4.679,"2016"
"2108",200,9.302,33.6405,3.504,"2016"
"2109",230,8.707,33.8691,3.308,"2016"
"2110",250,8.451,33.9468,3.072,"2016"
"2111",271,8.138,33.9848,2.742,"2016"
"2112",300,7.724,34.0154,2.394,"2016"
"2113",320,7.522,34.0224,2.175,"2016"
"2114",380,6.798,34.0704,1.377,"2016"
"2115",400,6.557,34.0886,1.199,"2016"
"2116",441,6.194,34.1294,0.867,"2016"
"2117",500,5.789,34.1852,0.563,"2016"
"2118",516,5.674,34.1976,0.497,"2016"
"2119",0,16.788,33.265,5.565,"2016"
"2120",2,16.788,33.265,5.565,"2016"
"2121",10,16.649,33.2754,5.607,"2016"
"2122",10,16.649,33.2686,NA,"2016"
"2123",11,16.647,33.2686,5.612,"2016"
"2124",20,16.643,33.2859,5.604,"2016"
"2125",24,16.627,33.2807,5.576,"2016"
"2126",30,16.607,33.2797,5.601,"2016"
"2127",39,16.625,33.2905,5.571,"2016"
"2128",50,16.645,33.2965,5.584,"2016"
"2129",62,16.641,33.2971,5.573,"2016"
"2130",74,16.651,33.312,5.565,"2016"
"2131",75,16.65,33.3109,5.573,"2016"
"2132",86,16.553,33.3011,NA,"2016"
"2133",87,16.491,33.2861,5.581,"2016"
"2134",99,15.6,33.2117,5.576,"2016"
"2135",100,15.56,33.2189,5.571,"2016"
"2136",111,14.71,33.2818,5.456,"2016"
"2137",124,13.345,33.2399,5.302,"2016"
"2138",125,12.873,33.2271,5.356,"2016"
"2139",138,11.753,33.189,5.089,"2016"
"2140",150,11.006,33.2118,5.038,"2016"
"2141",170,9.808,33.3851,4.445,"2016"
"2142",200,9.305,33.6448,3.783,"2016"
"2143",230,8.855,33.8257,3.355,"2016"
"2144",250,8.582,33.9217,3.169,"2016"
"2145",269,8.232,33.9742,2.867,"2016"
"2146",300,7.878,34.0065,2.503,"2016"
"2147",320,7.649,34.0211,2.222,"2016"
"2148",379,6.92,34.0747,1.393,"2016"
"2149",400,6.734,34.1013,1.199,"2016"
"2150",439,6.453,34.1227,0.932,"2016"
"2151",500,5.993,34.1784,0.683,"2016"
"2152",512,5.915,34.1868,0.641,"2016"
"2153",0,16.133,33.6041,5.476,"2016"
"2154",2,16.133,33.6041,5.476,"2016"
"2155",5,16.133,33.6041,5.493,"2016"
"2156",9,16.128,33.6035,5.528,"2016"
"2157",9,16.128,33.6048,NA,"2016"
"2158",10,16.143,33.6045,5.503,"2016"
"2159",16,16.119,33.6038,5.491,"2016"
"2160",0,16.247,33.5152,5.48,"2016"
"2161",2,16.247,33.5152,5.48,"2016"
"2162",10,16.25,33.515,5.478,"2016"
"2163",9,16.25,33.5158,NA,"2016"
"2164",14,16.254,33.5209,5.473,"2016"
"2165",20,16.252,33.5251,5.476,"2016"
"2166",23,16.25,33.526,5.457,"2016"
