# A subset of data downloaded from https://www.kaggle.com/rush4ratio/video-game-sales-with-ratings
# Accessed March 8, 2017
"Name" "Platform" "Year" "Genre" "Publisher" "Sales"
"322" "FIFA Street 3" "PS3" 2008 "Sports" "Electronic Arts" 0.08
"323" "Army of Two: The 40th Day" "PSP" 2010 "Shooter" "Electronic Arts" 0.12
"324" "FIFA Street 3" "X360" 2008 "Sports" "Electronic Arts" 0.14
"325" "Cabela's Dangerous Hunts 2011" "X360" 2010 "Sports" "Activision" 0.28
"326" "UEFA Euro 2008 Austria-Switzerland" "PS2" 2008 "Sports" "Electronic Arts" 0.03
"327" "Shrek the Third" "PSP" 2007 "Action" "Activision" 0.08
"328" "Harry Potter and the Half-Blood Prince" "X360" 2009 "Action" "Electronic Arts" 0.17
"329" "MySims SkyHeroes" "DS" 2010 "Action" "Electronic Arts" 0.2
"330" "NBA Live 08" "PSP" 2007 "Sports" "Electronic Arts" 0.28
"331" "Monsters vs. Aliens" "PS3" 2009 "Action" "Activision" 0.21
"332" "Rapala Pro Bass Fishing 2010" "Wii" 2010 "Sports" "Activision" 0.22
"333" "Harry Potter and the Order of the Phoenix" "X360" 2007 "Action" "Electronic Arts" 0.24
"334" "Spider-Man: Friend or Foe" "X360" 2007 "Action" "Activision" 0.26
"335" "MySims SkyHeroes" "Wii" 2010 "Action" "Electronic Arts" 0.16
"336" "The Godfather: Dons Edition" "PS3" 2007 "Action" "Electronic Arts" 0.25
"337" "Madden NFL 08" "XB" 2007 "Sports" "Electronic Arts" 0.22
"338" "Shrek the Third" "Wii" 2007 "Action" "Activision" 0.25
"339" "Kung Zhu" "DS" 2010 "Action" "Activision" 0.26
"340" "Tony Hawk: Shred" "PS3" 2010 "Sports" "Activision" 0.18
"341" "Indiana Jones and the Staff of Kings" "PS2" 2009 "Action" "Activision" 0.11
"342" "NCAA Basketball 09" "PS2" 2008 "Sports" "Electronic Arts" 0.14
"343" "FIFA Soccer 07" "X360" 2006 "Sports" "Electronic Arts" 0.24
"344" "Ice Age: Dawn of the Dinosaurs" "Wii" 2009 "Action" "Activision" 0.11
"345" "NHL 07" "X360" 2006 "Sports" "Electronic Arts" 0.25
"346" "Tiger Woods PGA Tour 07" "PSP" 2006 "Sports" "Electronic Arts" 0.2
"347" "Harry Potter and the Order of the Phoenix" "PS2" 2007 "Action" "Electronic Arts" 0.13
"348" "Transformers: Cybertron Adventures" "Wii" 2010 "Action" "Activision" 0.14
"349" "Rapala Pro Bass Fishing 2010" "PS3" 2010 "Sports" "Activision" 0.18
"350" "NFL Street 3" "PSP" 2006 "Sports" "Electronic Arts" 0.24
"351" "Superman Returns" "X360" 2006 "Action" "Electronic Arts" 0.23
"352" "NCAA March Madness 08" "PS2" 2007 "Sports" "Electronic Arts" 0.13
"353" "Tiger Woods PGA Tour 10" "PS2" 2009 "Sports" "Electronic Arts" 0.12
"354" "Spider-Man: Web of Shadows" "PS3" 2008 "Action" "Activision" 0.2
"355" "Tony Hawk: Shred" "X360" 2010 "Sports" "Activision" 0.17
"356" "Madden NFL 08" "DS" 2007 "Sports" "Electronic Arts" 0.23
"357" "Monsters vs. Aliens" "Wii" 2009 "Action" "Activision" 0.14
"358" "NHL 08" "PS3" 2007 "Action" "Electronic Arts" 0.16
"359" "NHL 08" "X360" 2007 "Action" "Electronic Arts" 0.22
"360" "Madagascar: Escape 2 Africa" "X360" 2008 "Action" "Activision" 0.12
"361" "Spider-Man: Web of Shadows" "Wii" 2008 "Action" "Activision" 0.22
"362" "Tony Hawk's Proving Ground" "Wii" 2007 "Sports" "Activision" 0.22
"363" "Indiana Jones and the Staff of Kings" "PSP" 2009 "Action" "Activision" 0.11
"364" "UEFA Euro 2008 Austria-Switzerland" "PSP" 2008 "Sports" "Electronic Arts" 0.06
"365" "Indiana Jones and the Staff of Kings" "DS" 2009 "Action" "Activision" 0.16
"366" "X-Men Origins: Wolverine" "Wii" 2009 "Action" "Activision" 0.19
"367" "Create" "Wii" 2010 "Action" "Electronic Arts" 0.2
"368" "NBA Live 10" "PSP" 2009 "Sports" "Electronic Arts" 0.21
"369" "Bakugan: Battle Brawlers" "X360" 2009 "Action" "Activision" 0.2
"370" "Spider-Man: Shattered Dimensions" "Wii" 2010 "Action" "Activision" 0.12
"371" "Harry Potter and the Order of the Phoenix" "PS3" 2007 "Action" "Electronic Arts" 0.18
"372" "FIFA World Cup Germany 2006" "XB" 2006 "Sports" "Electronic Arts" 0.18
"373" "G.I. Joe: The Rise of Cobra" "X360" 2009 "Action" "Electronic Arts" 0.17
"374" "The Godfather (US & Others sales)" "X360" 2006 "Action" "Electronic Arts" 0.2
"375" "Tiger Woods PGA Tour 10" "PSP" 2009 "Sports" "Electronic Arts" 0.12
"376" "Bakugan: Battle Brawlers" "PS3" 2009 "Action" "Activision" 0.19
"377" "Transformers: War for Cybertron (DS Version)" "DS" 2010 "Shooter" "Activision" 0.21
"378" "Madagascar: Escape 2 Africa" "PS3" 2008 "Action" "Activision" 0.12
"379" "NCAA Football 09" "PSP" 2008 "Sports" "Electronic Arts" 0.21
"380" "Tony Hawk's Proving Ground" "DS" 2007 "Sports" "Activision" 0.2
"381" "Rapala's Fishing Frenzy" "Wii" 2008 "Sports" "Activision" 0.2
"382" "Tony Hawk's Downhill Jam" "DS" 2006 "Sports" "Activision" 0.2
"383" "NBA Live 09 All-Play" "Wii" 2008 "Sports" "Electronic Arts" 0.19
"384" "NCAA Basketball 09" "X360" 2008 "Sports" "Electronic Arts" 0.2
"385" "G.I. Joe: The Rise of Cobra" "Wii" 2009 "Action" "Electronic Arts" 0.17
"386" "NCAA March Madness 08" "X360" 2007 "Sports" "Electronic Arts" 0.2
"387" "Madden NFL 07" "DS" 2006 "Sports" "Electronic Arts" 0.2
"388" "G.I. Joe: The Rise of Cobra" "PS3" 2009 "Action" "Electronic Arts" 0.11
"389" "Spider-Man: Web of Shadows" "PS2" 2008 "Action" "Activision" 0.1
"390" "Tony Hawk's Motion" "DS" 2008 "Sports" "Activision" 0.19
"391" "NCAA March Madness 07" "X360" 2007 "Sports" "Electronic Arts" 0.19
"392" "NCAA Football 10" "PSP" 2009 "Sports" "Electronic Arts" 0.19
"393" "Cabela's North American Adventures" "Wii" 2010 "Sports" "Activision" 0.19
"394" "Soldier of Fortune: Payback" "X360" 2007 "Shooter" "Activision" 0.18
"395" "X-Men Origins: Wolverine" "DS" 2009 "Action" "Activision" 0.15
"396" "X-Men Origins: Wolverine" "PSP" 2009 "Action" "Activision" 0.13
"397" "Barbie Horse Adventures: Riding Camp" "PS2" 2008 "Sports" "Activision" 0.09
"398" "Spider-Man: Shattered Dimensions" "DS" 2010 "Action" "Activision" 0.17
"399" "Dante's Inferno" "PSP" 2010 "Action" "Electronic Arts" 0.12
"400" "Chaotic: Shadow Warriors" "Wii" 2009 "Action" "Activision" 0.18
"401" "Monsters vs. Aliens" "PS2" 2009 "Action" "Activision" 0.11
"402" "Jurassic: The Hunted" "PS3" 2009 "Shooter" "Activision" 0.17
"403" "Ice Age: Dawn of the Dinosaurs" "PS3" 2009 "Action" "Activision" 0.13
"404" "Barbie Horse Adventures: Riding Camp" "Wii" 2008 "Sports" "Activision" 0.17
"405" "Tiger Woods PGA Tour 07" "XB" 2006 "Sports" "Electronic Arts" 0.13
"406" "Chaotic: Shadow Warriors" "DS" 2009 "Action" "Activision" 0.17
"407" "Call of Duty: World at War" "PC" 2008 "Shooter" "Activision" 0.02
"408" "X-Men Origins: Wolverine" "PS2" 2009 "Action" "Activision" 0.13
"409" "FIFA Soccer 07" "GC" 2006 "Sports" "Electronic Arts" 0.14
"410" "Van Helsing" "XB" 2007 "Action" "Activision" 0.13
"411" "Spider-Man: Friend or Foe" "PSP" 2007 "Action" "Activision" 0.16
"412" "FIFA Soccer 11" "PC" 2010 "Sports" "Electronic Arts" 0
"413" "How to Train Your Dragon" "PS3" 2010 "Action" "Activision" 0.12
"414" "Madden NFL 09" "XB" 2008 "Sports" "Electronic Arts" 0.13
"415" "Rapala Fishing Frenzy 2009" "PS3" 2008 "Sports" "Activision" 0.16
"416" "Skate it" "DS" 2008 "Sports" "Electronic Arts" 0.14
"417" "Cabela's Legendary Adventures" "Wii" 2008 "Sports" "Activision" 0.16
"418" "Ice Age: Dawn of the Dinosaurs" "PS2" 2009 "Action" "Activision" 0.08
"419" "X-Men: The Official Game" "X360" 2006 "Action" "Activision" 0.16
"420" "Cabela's Legendary Adventures" "PSP" 2008 "Sports" "Activision" 0.16
"421" "Bee Movie Game" "X360" 2007 "Action" "Activision" 0.16
"422" "Monsters vs. Aliens" "X360" 2009 "Action" "Activision" 0.12
"423" "NHL 07" "PSP" 2006 "Sports" "Electronic Arts" 0.13
"424" "Bakugan Battle Brawlers: Defenders of the Core" "PS3" 2010 "Action" "Activision" 0.14
"425" "NCAA Basketball 09" "PS3" 2008 "Sports" "Electronic Arts" 0.15
"426" "Chaotic: Shadow Warriors" "PS3" 2009 "Action" "Activision" 0.15
"427" "TransFormers Animated: The Game" "DS" 2008 "Action" "Activision" 0.15
"428" "NCAA Football 09 All-Play" "Wii" 2008 "Sports" "Electronic Arts" 0.15
"429" "NBA Live 08" "Wii" 2007 "Sports" "Electronic Arts" 0.14
"430" "Create" "PS3" 2010 "Action" "Electronic Arts" 0.11
"431" "Bakugan Battle Brawlers: Defenders of the Core" "Wii" 2010 "Action" "Activision" 0.14
"432" "Spider-Man: Web of Shadows - Amazing Allies Edition" "PSP" 2008 "Action" "Activision" 0.12
"433" "Chaotic: Shadow Warriors" "X360" 2009 "Action" "Activision" 0.14
"434" "Bakugan Battle Brawlers: Defenders of the Core" "PSP" 2010 "Action" "Activision" 0.09
"435" "NBA Street Homecourt" "PS3" 2007 "Sports" "Electronic Arts" 0.12
"436" "Little League World Series Baseball 2009" "Wii" 2009 "Sports" "Activision" 0.14
"437" "NHL 09" "PS2" 2008 "Sports" "Electronic Arts" 0.07
"438" "History Civil War: Secret Missions" "PS2" 2008 "Shooter" "Activision" 0.07
"439" "X-Men: The Official Game" "GC" 2006 "Action" "Activision" 0.12
"440" "Space Camp" "DS" 2009 "Action" "Activision" 0.14
"441" "Arena Football" "XB" 2006 "Sports" "Electronic Arts" 0.11
"442" "Jurassic: The Hunted" "Wii" 2009 "Shooter" "Activision" 0.14
"443" "Bakugan Battle Brawlers: Defenders of the Core" "X360" 2010 "Action" "Activision" 0.11
"444" "Soldier of Fortune: Payback" "PS3" 2007 "Shooter" "Activision" 0.12
"445" "Spider-Man: Friend or Foe" "Wii" 2007 "Action" "Activision" 0.13
"446" "Jurassic: The Hunted" "PS2" 2009 "Shooter" "Activision" 0.07
"447" "G.I. Joe: The Rise of Cobra" "PS2" 2009 "Action" "Electronic Arts" 0.11
"448" "G.I. Joe: The Rise of Cobra" "PSP" 2009 "Action" "Electronic Arts" 0.11
"449" "NFL Head Coach 09" "PS3" 2008 "Sports" "Electronic Arts" 0.13
"450" "The Orange Box" "PC" 2007 "Shooter" "Electronic Arts" 0
"451" "The History Channel: Civil War - A Nation Divided" "X360" 2006 "Shooter" "Activision" 0.13
"452" "How to Train Your Dragon" "X360" 2010 "Action" "Activision" 0.11
"453" "Create" "X360" 2010 "Action" "Electronic Arts" 0.1
"454" "G.I. Joe: The Rise of Cobra" "DS" 2009 "Action" "Electronic Arts" 0.11
"455" "Little League World Series Baseball 2009" "DS" 2009 "Sports" "Activision" 0.12
"456" "GoldenEye 007 (2010)" "DS" 2010 "Action" "Activision" 0.1
"457" "FIFA Street 2" "PSP" 2006 "Sports" "Electronic Arts" 0.07
"458" "History Civil War: Secret Missions" "X360" 2008 "Shooter" "Activision" 0.12
"459" "Bakugan: Battle Trainer" "DS" 2010 "Action" "Activision" 0.12
"460" "Cabela's Dangerous Hunts 2009" "X360" 2008 "Sports" "Activision" 0.12
"461" "Cabela's Alaskan Adventure" "X360" 2006 "Sports" "Activision" 0.12
"462" "FIFA World Cup Germany 2006" "GC" 2006 "Sports" "Electronic Arts" 0.1
"463" "Space Camp" "Wii" 2009 "Action" "Activision" 0.12
"464" "007: Quantum of Solace" "DS" 2008 "Action" "Activision" 0.11
"465" "Jurassic: The Hunted" "X360" 2009 "Shooter" "Activision" 0.12
"466" "Ice Age: Dawn of the Dinosaurs" "X360" 2009 "Action" "Activision" 0.09
"467" "Ninja Reflex" "Wii" 2008 "Action" "Electronic Arts" 0.11
"468" "Cabela's Dangerous Hunts 2011" "DS" 2010 "Sports" "Activision" 0.11
"469" "Transformers: War for Cybertron -- Decepticons" "DS" 2010 "Action" "Activision" 0.11
"470" "Mountain Sports" "Wii" 2009 "Sports" "Activision" 0.11
"471" "NFL Head Coach" "XB" 2006 "Sports" "Electronic Arts" 0.09
"472" "Cabela's North American Adventures" "PS3" 2010 "Sports" "Activision" 0.11
"473" "NFL Tour" "PS3" 2008 "Sports" "Electronic Arts" 0.1
"474" "MySims SkyHeroes" "PS3" 2010 "Action" "Electronic Arts" 0.08
"475" "FIFA Street 2" "GC" 2006 "Sports" "Electronic Arts" 0.09
"476" "NFL Head Coach 09" "X360" 2008 "Sports" "Electronic Arts" 0.11
"477" "EA Replay" "PSP" 2006 "Action" "Electronic Arts" 0.1
"478" "The History Channel: Battle for the Pacific" "Wii" 2007 "Shooter" "Activision" 0.1
"479" "Cabela's North American Adventures" "X360" 2010 "Sports" "Activision" 0.1
"480" "FIFA World Cup Germany 2006" "PSP" 2006 "Sports" "Electronic Arts" 0.1
"481" "Big League Sports: Summer" "DS" 2009 "Sports" "Activision" 0.09
"482" "X-Men: The Official Game" "DS" 2006 "Action" "Activision" 0.1
"483" "The Godfather: Mob Wars" "PSP" 2006 "Action" "Electronic Arts" 0.09
"484" "The Lord of the Rings: Conquest" "DS" 2009 "Action" "Electronic Arts" 0.09
"485" "Hot Wheels Ultimate Racing" "PSP" 2007 "Action" "Activision" 0.09
"486" "X-Men: The Official Game" "XB" 2006 "Action" "Activision" 0.08
"487" "Bee Movie Game" "PS2" 2007 "Action" "Activision" 0.05
"488" "NFL Tour" "X360" 2008 "Sports" "Electronic Arts" 0.09
"489" "Harry Potter and the Deathly Hallows - Part 1" "PC" 2010 "Action" "Electronic Arts" 0.08
"490" "The History Channel: Civil War - Secret Missions" "PS3" 2008 "Shooter" "Activision" 0.09
"491" "Spider-Man: Web of Shadows" "DS" 2008 "Action" "Activision" 0.09
"492" "Little League World Series Baseball 2010" "X360" 2010 "Sports" "Activision" 0.09
"493" "Cabela's North American Adventures" "PSP" 2010 "Sports" "Activision" 0.09
"494" "Big League Sports" "Wii" 2008 "Sports" "Activision" 0.09
"495" "Rapala Pro Bass Fishing 2010" "DS" 2010 "Sports" "Activision" 0.09
"496" "MySims SkyHeroes" "X360" 2010 "Action" "Electronic Arts" 0.09
"497" "Ninja Reflex" "DS" 2008 "Action" "Electronic Arts" 0.09
"498" "Little League World Series Baseball 2008" "Wii" 2008 "Sports" "Activision" 0.09
"499" "Medal of Honor: Vanguard" "Wii" 2007 "Shooter" "Electronic Arts" 0.06
"500" "Big League Sports: Summer" "Wii" 2009 "Sports" "Activision" 0.09
"501" "NCAA March Madness 08" "PS3" 2007 "Sports" "Electronic Arts" 0.08
"502" "NERF N-Strike: Double Blast Bundle" "Wii" 2010 "Shooter" "Electronic Arts" 0.09
"503" "Def Jam Fight For NY: The Takeover" "PSP" 2006 "Action" "Electronic Arts" 0.08
"504" "FIFA Street 3" "DS" 2008 "Sports" "Electronic Arts" 0.06
"505" "Crysis: Maximum Edition" "PC" 2009 "Shooter" "Electronic Arts" 0
"506" "NCAA Football 08" "XB" 2007 "Sports" "Electronic Arts" 0.06
"507" "FIFA Street 2" "XB" 2006 "Sports" "Electronic Arts" 0.06
"508" "Little League World Series Baseball 2010" "PS3" 2010 "Sports" "Activision" 0.07
"509" "Cabela's North American Adventures" "PS2" 2010 "Sports" "Activision" 0.04
"510" "Little League World Series Baseball: Double Play" "Wii" 2010 "Sports" "Activision" 0.07
"511" "From Russia With Love" "PSP" 2006 "Action" "Electronic Arts" 0.07
"512" "Rapala Pro Bass Fishing 2010" "PS2" 2010 "Sports" "Activision" 0.04
"513" "Madden NFL 08" "GC" 2007 "Sports" "Electronic Arts" 0.06
"514" "10 Minute Solution" "Wii" 2010 "Sports" "Activision" 0.06
"515" "Kung Fu Panda: Legendary Warriors" "Wii" 2008 "Action" "Activision" 0.07
"516" "Little League World Series Baseball: Double Play" "DS" 2010 "Sports" "Activision" 0.07
"517" "The History Channel: Battle for the Pacific" "PS3" 2008 "Shooter" "Activision" 0.07
"518" "Superman Returns" "DS" 2006 "Action" "Electronic Arts" 0.07
"519" "Rapala Pro Bass Fishing 2010" "PSP" 2010 "Sports" "Activision" 0.06
"520" "Secret Service: Ultimate Sacrifice" "PS2" 2008 "Action" "Activision" 0.03
"521" "X-Men: The Official Game" "GBA" 2006 "Action" "Activision" 0.05
"522" "Miami Vice: The Game" "PSP" 2006 "Shooter" "Activision" 0.06
"523" "James Bond 007: Blood Stone" "DS" 2010 "Shooter" "Activision" 0.05
"524" "Create" "PC" 2010 "Action" "Electronic Arts" 0.04
"525" "Little League World Series Baseball 2008" "DS" 2008 "Sports" "Activision" 0.06
"526" "Call of Duty: The War Collection" "X360" 2010 "Shooter" "Activision" 0.05
"527" "FIFA Soccer 07" "DS" 2006 "Sports" "Electronic Arts" 0.05
"528" "The History Channel: Battle for the Pacific" "X360" 2007 "Shooter" "Activision" 0.05
"529" "Gun Showdown" "PSP" 2006 "Action" "Activision" 0.05
"530" "Tiger Woods PGA Tour 08" "DS" 2007 "Sports" "Electronic Arts" 0.05
"531" "NBA Live 07" "XB" 2006 "Sports" "Electronic Arts" 0.04
"532" "The Saboteur" "PC" 2009 "Action" "Electronic Arts" 0
"533" "Medal of Honor: Airborne" "PC" 2007 "Shooter" "Electronic Arts" 0
"534" "UEFA Champions League 2006-2007" "X360" 2007 "Sports" "Electronic Arts" 0.04
"535" "LEGO Indiana Jones 2: The Adventure Continues" "PC" 2009 "Action" "Activision" 0.02
"536" "Rugby 06" "PS2" 2006 "Sports" "Electronic Arts" 0.02
"537" "FIFA Soccer 10" "PC" 2009 "Sports" "Electronic Arts" 0
"538" "Rapala Fishing Frenzy 2009" "X360" 2008 "Sports" "Activision" 0.04
"539" "Wolfenstein" "PC" 2009 "Shooter" "Activision" 0.01
"540" "Rapala Trophies" "PSP" 2006 "Sports" "Activision" 0.04
"541" "The Hustle: Detroit Streets" "PS2" 2006 "Sports" "Activision" 0.02
"542" "FIFA Street 2" "DS" 2006 "Sports" "Electronic Arts" 0.04
"543" "FIFA World Cup Germany 2006" "DS" 2006 "Sports" "Electronic Arts" 0.03
"544" "Greg Hastings' Tournament Paintball Max'd" "DS" 2006 "Shooter" "Activision" 0.03
"545" "Rugby 08" "PS2" 2007 "Sports" "Electronic Arts" 0.02
"546" "Harry Potter and the Order of the Phoenix" "PC" 2007 "Action" "Electronic Arts" 0
"547" "Rapala Tournament Fishing!" "X360" 2006 "Sports" "Activision" 0.03
"548" "FIFA World Cup: Germany 2006" "GBA" 2006 "Sports" "Electronic Arts" 0.02
"549" "Harry Potter and the Half-Blood Prince" "PC" 2009 "Action" "Electronic Arts" 0
"550" "007: Quantum of Solace" "PC" 2008 "Action" "Activision" 0.01
"551" "Kung Fu Panda: Legendary Warriors" "DS" 2008 "Action" "Activision" 0.02
"552" "Monsters vs. Aliens" "PC" 2009 "Action" "Activision" 0.01
"553" "Greg Hastings' Tournament Paintball Max'd" "GBA" 2006 "Shooter" "Activision" 0.02
"554" "NHL 07" "XB" 2006 "Sports" "Electronic Arts" 0.02
"555" "Medal of Honor: Vanguard" "PS2" 2007 "Shooter" "Electronic Arts" 0
"556" "Madden NFL 07" "GBA" 2006 "Sports" "Electronic Arts" 0.02
"557" "Battlefield 2142" "PC" 2006 "Shooter" "Electronic Arts" 0
"558" "X-Men Origins: Wolverine - Uncaged Edition" "PC" 2009 "Action" "Activision" 0.02
"559" "The Lord of the Rings: Conquest" "PC" 2009 "Action" "Electronic Arts" 0
"560" "Ice Age: Dawn of the Dinosaurs" "PC" 2009 "Action" "Activision" 0.02
"561" "Kung Fu Panda" "PC" 2008 "Action" "Activision" 0
"562" "Left 4 Dead" "PC" 2008 "Shooter" "Electronic Arts" 0
"563" "FIFA Soccer 09" "PC" 2008 "Sports" "Electronic Arts" 0
"564" "Spider-Man: Web of Shadows" "PC" 2008 "Action" "Activision" 0
"565" "Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)" "PC" 2009 "Shooter" "Activision" 0.02
"566" "Crysis: Warhead" "PC" 2008 "Shooter" "Electronic Arts" 0
"567" "Rugby 06" "XB" 2006 "Sports" "Electronic Arts" 0.01
"568" "NHL 09" "PC" 2008 "Sports" "Electronic Arts" 0
"569" "James Bond 007: Blood Stone" "PC" 2010 "Shooter" "Activision" 0.02
"570" "The Hustle: Detroit Streets" "XB" 2006 "Sports" "Activision" 0.01
"571" "LEGO Star Wars II: The Original Trilogy" "PC" 2006 "Action" "Activision" 0
"572" "Enemy Territory: Quake Wars" "PC" 2007 "Shooter" "Activision" 0.01
"573" "FIFA Soccer 08" "PC" 2007 "Sports" "Electronic Arts" 0
"574" "Football Academy" "DS" 2009 "Sports" "Electronic Arts" 0
"575" "UEFA Champions League 2006-2007" "PSP" 2007 "Sports" "Electronic Arts" 0.01
"576" "Spider-Man: Friend or Foe" "PC" 2007 "Action" "Activision" 0.01
"577" "Greg Hastings' Tournament Paintball Max'd" "PS2" 2006 "Shooter" "Activision" 0.01
"578" "The Godfather (JP sales)" "X360" 2006 "Action" "Electronic Arts" 0
"579" "Madagascar: Escape 2 Africa" "PC" 2008 "Action" "Activision" 0.01
"580" "Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)" "PC" 2010 "Shooter" "Activision" 0.01
